,schedule_date,Season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,Team,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail,point_diff,spread_favorite_covered
8827,11/20/2005,2005,11,False,SD,48,10,BUF,,,42,Qualcomm Stadium,False,67.0,6.0,24.0,,38,False
8828,11/20/2005,2005,11,False,SF,25,27,SEA,,,42.5,Candlestick Park,False,57.0,2.0,62.0,,-2,False
8829,11/20/2005,2005,11,False,STL,28,38,ARI,,,48,Edward Jones Dome,False,72.0,0.0,,indoor,-10,False
8830,11/20/2005,2005,11,False,TEN,28,31,JAX,,,38,Nissan Stadium,False,46.0,4.0,46.0,,-3,False
8831,11/20/2005,2005,11,False,Washington Redskins,13,16,OAK,,,42,FedEx Field,False,45.0,6.0,52.0,,-3,False
8832,11/21/2005,2005,11,False,GB,17,20,MIN,,,45,Lambeau Field,False,38.0,15.0,80.0,,-3,False
8833,11/24/2005,2005,12,False,DAL,21,24,DEN,,,41,Texas Stadium,False,57.0,5.0,43.0,,-3,False
8834,11/24/2005,2005,12,False,DET,7,27,ATL,,,40.5,Ford Field,False,72.0,0.0,,indoor,-20,False
8835,11/27/2005,2005,12,False,ARI,17,24,JAX,,,41.5,University of Phoenix Stadium,False,58.0,19.0,18.0,,-7,False
8836,11/27/2005,2005,12,False,BUF,9,13,CAR,,,36.5,Ralph Wilson Stadium,False,33.0,7.0,72.0,,-4,False
8837,11/27/2005,2005,12,False,CIN,42,29,BAL,,,36.5,Paul Brown Stadium,False,51.0,10.0,52.0,,13,False
8838,11/27/2005,2005,12,False,HOU,27,33,STL,,,44.5,Reliant Stadium,False,72.0,0.0,,indoor,-6,False
8839,11/27/2005,2005,12,False,KC,26,16,NE,,,51,Arrowhead Stadium,False,59.0,17.0,78.0,,10,False
8840,11/27/2005,2005,12,False,MIN,24,12,CLE,,,40,Hubert H. Humphrey Metrodome,False,72.0,0.0,,indoor,12,False
8841,11/27/2005,2005,12,False,NYJ,19,21,NO,,,37,Giants Stadium,False,45.0,6.0,50.0,,-2,False
8842,11/27/2005,2005,12,False,OAK,21,33,MIA,,,42.5,Oakland Coliseum,False,46.0,5.0,65.0,,-12,False
8843,11/27/2005,2005,12,False,PHI,19,14,GB,,,41.5,Lincoln Financial Field,False,41.0,5.0,60.0,,5,False
8844,11/27/2005,2005,12,False,SEA,24,21,NYG,,,47.5,CenturyLink Field,False,39.0,7.0,81.0,,3,False
8845,11/27/2005,2005,12,False,TB,10,13,CHI,,,33,Raymond James Stadium,False,70.0,9.0,69.0,,-3,False
8846,11/27/2005,2005,12,False,TEN,33,22,SF,,,42.5,Nissan Stadium,False,57.0,16.0,58.0,,11,False
8847,11/27/2005,2005,12,False,Washington Redskins,17,23,SD,,,44,FedEx Field,False,43.0,5.0,54.0,,-6,False
8848,11/28/2005,2005,12,False,IND,26,7,PIT,,,47,RCA Dome,False,72.0,0.0,,indoor,19,False
8849,12/4/2005,2005,13,False,BAL,16,15,HOU,,,37,M&T Bank Stadium,False,37.0,10.0,73.0,,1,False
8850,12/4/2005,2005,13,False,CAR,24,6,ATL,,,43.5,Bank of America Stadium,False,49.0,6.0,82.0,,18,False
8851,12/4/2005,2005,13,False,CHI,19,7,GB,,,32,Soldier Field,False,26.0,11.0,81.0,,12,False
8852,12/4/2005,2005,13,False,CLE,14,20,JAX,,,36.5,FirstEnergy Stadium,False,27.0,10.0,78.0,,-6,False
8853,12/4/2005,2005,13,False,DET,16,21,MIN,,,38,Ford Field,False,72.0,0.0,,indoor,-5,False
8854,12/4/2005,2005,13,False,IND,35,3,TEN,,,47.5,RCA Dome,False,72.0,0.0,,indoor,32,False
8855,12/4/2005,2005,13,False,KC,31,27,DEN,,,47,Arrowhead Stadium,False,22.0,11.0,70.0,,4,False
8856,12/4/2005,2005,13,False,MIA,24,23,BUF,,,35.5,Sun Life Stadium,False,69.0,7.0,67.0,,1,False
8857,12/4/2005,2005,13,False,NE,16,3,NYJ,,,42.5,Gillette Stadium,False,29.0,11.0,66.0,,13,False
8858,12/4/2005,2005,13,False,NO,3,10,TB,,,39,Tiger Stadium (LSU),False,72.0,14.0,77.0,,-7,False
8859,12/4/2005,2005,13,False,NYG,17,10,DAL,,,41,Giants Stadium,False,33.0,11.0,67.0,,7,False
8860,12/4/2005,2005,13,False,PIT,31,38,CIN,,,43,Heinz Field,False,27.0,8.0,81.0,,-7,False
8861,12/4/2005,2005,13,False,SD,34,10,OAK,,,50.5,Qualcomm Stadium,False,57.0,6.0,52.0,,24,False
