schedule_date,Season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,Team,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
11/13/2011,2011,10,False,SF,27,20,NYG,SF,-4.0,42.5,Candlestick Park,False,60.0,1.0,74.0,
11/13/2011,2011,10,False,SEA,22,17,BAL,BAL,-7.0,39,CenturyLink Field,False,50.0,10.0,,
11/13/2011,2011,10,False,TB,9,37,HOU,HOU,-4.0,45.5,Raymond James Stadium,False,78.0,9.0,47.0,
11/14/2011,2011,10,False,GB,45,7,MIN,GB,-13.0,50,Lambeau Field,False,46.0,13.0,,
11/17/2011,2011,11,False,DEN,17,13,NYJ,NYJ,-6.5,38.5,Sports Authority Field at Mile High,False,54.0,3.0,20.0,
11/20/2011,2011,11,False,ATL,23,17,TEN,ATL,-6.5,44,Georgia Dome,False,72.0,0.0,,indoor
11/20/2011,2011,11,False,BAL,31,24,CIN,BAL,-7.0,40.5,M&T Bank Stadium,False,67.0,7.0,59.0,
11/20/2011,2011,11,False,CHI,31,20,SD,CHI,-4.5,45.5,Soldier Field,False,42.0,1.0,78.0,
11/20/2011,2011,11,False,CLE,14,10,JAX,CLE,-1.5,34.5,FirstEnergy Stadium,False,57.0,1.0,5.0,
11/20/2011,2011,11,False,DET,49,35,CAR,DET,-7.0,47.5,Ford Field,False,72.0,0.0,,indoor
11/20/2011,2011,11,False,GB,35,26,TB,GB,-13.5,49,Lambeau Field,False,32.0,7.0,66.0,
11/20/2011,2011,11,False,MIA,35,8,BUF,MIA,-3.0,44,Sun Life Stadium,False,80.0,1.0,79.0,rain
11/20/2011,2011,11,False,MIN,21,27,OAK,MIN,-2.0,46.5,Mall of America Field,False,72.0,0.0,,indoor
11/20/2011,2011,11,False,NYG,10,17,PHI,NYG,-6.0,45.5,MetLife Stadium,False,58.0,1.0,66.0,
11/20/2011,2011,11,False,SF,23,7,ARI,SF,-10.0,40.5,Candlestick Park,False,55.0,1.0,72.0,rain
11/20/2011,2011,11,False,STL,7,24,SEA,LAR,-3.0,40,Edward Jones Dome,False,72.0,0.0,,indoor
11/20/2011,2011,11,False,Washington Redskins,24,27,DAL,DAL,-7.0,43,FedEx Field,False,67.0,4.0,55.0,
11/21/2011,2011,11,False,NE,34,3,KC,NE,-17.0,47,Gillette Stadium,False,30.0,2.0,,
11/24/2011,2011,12,False,BAL,16,6,SF,BAL,-3.5,40.5,M&T Bank Stadium,False,53.0,5.0,32.0,
11/24/2011,2011,12,False,DAL,20,19,MIA,DAL,-7.0,46,Cowboys Stadium,False,72.0,0.0,,indoor
11/24/2011,2011,12,False,DET,15,27,GB,GB,-4.5,55,Ford Field,False,72.0,0.0,,indoor
11/27/2011,2011,12,False,ATL,24,14,MIN,ATL,-10.0,44,Georgia Dome,False,72.0,0.0,,indoor
11/27/2011,2011,12,False,CIN,23,20,CLE,CIN,-7.0,38,Paul Brown Stadium,False,60.0,7.0,98.0,rain
11/27/2011,2011,12,False,IND,19,27,CAR,CAR,-3.5,46.5,Lucas Oil Stadium,False,72.0,0.0,,indoor
11/27/2011,2011,12,False,JAX,13,20,HOU,HOU,-6.5,37,EverBank Field,False,79.0,1.0,61.0,
11/27/2011,2011,12,False,KC,9,13,PIT,PIT,-10.5,40.5,Arrowhead Stadium,False,34.0,5.0,,
11/27/2011,2011,12,False,NYJ,28,24,BUF,NYJ,-9.5,42.5,MetLife Stadium,False,62.0,1.0,63.0,
11/27/2011,2011,12,False,OAK,25,20,CHI,LVR,-3.0,41,Oakland Coliseum,False,60.0,6.0,76.0,
11/27/2011,2011,12,False,PHI,20,38,NE,NE,-3.5,50.5,Lincoln Financial Field,False,63.0,1.0,56.0,
11/27/2011,2011,12,False,SD,13,16,DEN,LAC,-5.5,42,Qualcomm Stadium,False,84.0,0.0,12.0,
11/27/2011,2011,12,False,SEA,17,23,Washington Redskins,SEA,-3.0,37.5,CenturyLink Field,False,49.0,13.0,,rain
11/27/2011,2011,12,False,STL,20,23,ARI,LAR,-2.5,40,Edward Jones Dome,False,72.0,0.0,,indoor
11/27/2011,2011,12,False,TEN,23,17,TB,TEN,-3.0,44,Nissan Stadium,False,47.0,2.0,96.0,
11/28/2011,2011,12,False,NO,49,24,NYG,NO,-7.0,51,Louisiana Superdome,False,72.0,0.0,,indoor
12/1/2011,2011,13,False,SEA,31,14,PHI,PHI,-3.0,43.5,CenturyLink Field,False,39.0,2.0,,
12/4/2011,2011,13,False,ARI,19,13,DAL,DAL,-4.5,46.5,University of Phoenix Stadium,False,72.0,0.0,,indoor
12/4/2011,2011,13,False,BUF,17,23,TEN,BUF,-1.0,44,Ralph Wilson Stadium,False,58.0,1.0,41.0,
12/4/2011,2011,13,False,CHI,3,10,KC,CHI,-9.0,35,Soldier Field,False,46.0,1.0,79.0,rain
12/4/2011,2011,13,False,CLE,10,24,BAL,BAL,-7.0,38.5,FirstEnergy Stadium,False,51.0,30.0,,rain
12/4/2011,2011,13,False,HOU,17,10,ATL,ATL,-2.0,38,Reliant Stadium,False,72.0,2.0,,retractable (open roof)
12/4/2011,2011,13,False,MIA,34,14,OAK,MIA,-3.0,43,Sun Life Stadium,False,80.0,2.0,49.0,
12/4/2011,2011,13,False,MIN,32,35,DEN,MIN,-1.5,37.5,Mall of America Field,False,72.0,0.0,,indoor
12/4/2011,2011,13,False,NE,31,24,IND,NE,-20.5,48.5,Gillette Stadium,False,54.0,10.0,,
12/4/2011,2011,13,False,NO,31,17,DET,NO,-9.0,54.5,Louisiana Superdome,False,72.0,0.0,,indoor
12/4/2011,2011,13,False,NYG,35,38,GB,GB,-7.0,54,MetLife Stadium,False,52.0,9.0,67.0,
12/4/2011,2011,13,False,PIT,35,7,CIN,PIT,-7.0,43,Heinz Field,False,60.0,1.0,28.0,
12/4/2011,2011,13,False,SF,26,0,STL,SF,-14.5,38.5,Candlestick Park,False,56.0,2.0,48.0,
12/4/2011,2011,13,False,TB,19,38,CAR,CAR,-2.5,46.5,Raymond James Stadium,False,79.0,1.0,46.0,
12/4/2011,2011,13,False,Washington Redskins,19,34,NYJ,NYJ,-3.0,38.5,FedEx Field,False,56.0,5.0,57.0,
12/5/2011,2011,13,False,JAX,14,38,SD,LAC,-3.0,39.5,EverBank Field,False,68.0,6.0,81.0,
12/8/2011,2011,14,False,PIT,14,3,CLE,PIT,-14.0,40,Heinz Field,False,31.0,6.0,74.0,
12/11/2011,2011,14,False,ARI,21,19,SF,SF,-3.5,40,University of Phoenix Stadium,False,72.0,0.0,,indoor
12/11/2011,2011,14,False,BAL,24,10,IND,BAL,-16.5,41.5,M&T Bank Stadium,False,45.0,2.0,34.0,
12/11/2011,2011,14,False,CAR,23,31,ATL,ATL,-3.0,47.5,Bank of America Stadium,False,48.0,1.0,45.0,
12/11/2011,2011,14,False,CIN,19,20,HOU,CIN,-3.0,37,Paul Brown Stadium,False,38.0,4.0,47.0,
12/11/2011,2011,14,False,DAL,34,37,NYG,DAL,-4.5,50.5,Cowboys Stadium,False,72.0,0.0,,indoor
12/11/2011,2011,14,False,DEN,13,10,CHI,DEN,-3.5,35.5,Sports Authority Field at Mile High,False,50.0,7.0,22.0,
12/11/2011,2011,14,False,DET,34,28,MIN,DET,-10.0,47,Ford Field,False,72.0,0.0,,indoor
12/11/2011,2011,14,False,GB,46,16,OAK,GB,-11.5,49.5,Lambeau Field,False,43.0,1.0,55.0,
12/11/2011,2011,14,False,JAX,41,14,TB,TB,-3.0,42,EverBank Field,False,60.0,12.0,,rain
12/11/2011,2011,14,False,MIA,10,26,PHI,MIA,-3.0,44.5,Sun Life Stadium,False,78.0,1.0,83.0,
12/11/2011,2011,14,False,NYJ,37,10,KC,NYJ,-10.5,35.5,MetLife Stadium,False,40.0,5.0,35.0,
12/11/2011,2011,14,False,SD,37,10,BUF,LAC,-7.0,49,Qualcomm Stadium,False,59.0,5.0,61.0,
12/11/2011,2011,14,False,TEN,17,22,NO,NO,-3.5,48,Nissan Stadium,False,46.0,7.0,44.0,
12/11/2011,2011,14,False,Washington Redskins,27,34,NE,NE,-7.5,47,FedEx Field,False,40.0,0.0,33.0,
12/12/2011,2011,14,False,SEA,30,13,STL,SEA,-9.5,37,CenturyLink Field,False,36.0,7.0,,
12/15/2011,2011,15,False,ATL,41,14,JAX,ATL,-13.5,42,Georgia Dome,False,72.0,0.0,,indoor
12/17/2011,2011,15,False,TB,15,31,DAL,DAL,-7.0,47,Raymond James Stadium,False,67.0,3.0,78.0,
12/18/2011,2011,15,False,ARI,20,17,CLE,ARI,-6.5,37.5,University of Phoenix Stadium,False,72.0,0.0,,indoor
12/18/2011,2011,15,False,BUF,23,30,MIA,BUF,-1.5,40.5,Ralph Wilson Stadium,False,32.0,1.0,64.0,snow
12/18/2011,2011,15,False,CHI,14,38,SEA,CHI,-3.5,35,Soldier Field,False,40.0,5.0,65.0,
12/18/2011,2011,15,False,DEN,23,41,NE,NE,-7.5,47.5,Sports Authority Field at Mile High,False,63.0,3.0,16.0,
12/18/2011,2011,15,False,HOU,13,28,CAR,HOU,-6.0,45.5,Reliant Stadium,False,61.0,1.0,,retractable (open roof)
12/18/2011,2011,15,False,IND,27,13,TEN,TEN,-6.5,41.5,Lucas Oil Stadium,False,72.0,0.0,,indoor
12/18/2011,2011,15,False,KC,19,14,GB,GB,-11.5,46,Arrowhead Stadium,False,57.0,1.0,58.0,
12/18/2011,2011,15,False,MIN,20,42,NO,NO,-7.5,53.5,Mall of America Field,False,72.0,0.0,,indoor
12/18/2011,2011,15,False,NYG,10,23,Washington Redskins,NYG,-6.0,46.5,MetLife Stadium,False,31.0,9.0,34.0,
12/18/2011,2011,15,False,OAK,27,28,DET,DET,-1.5,47.5,Oakland Coliseum,False,51.0,1.0,84.0,
12/18/2011,2011,15,False,PHI,45,19,NYJ,PHI,-3.0,44,Lincoln Financial Field,False,35.0,9.0,41.0,
12/18/2011,2011,15,False,SD,34,14,BAL,BAL,-2.5,44,Qualcomm Stadium,False,58.0,7.0,67.0,
12/18/2011,2011,15,False,STL,13,20,CIN,CIN,-7.0,39,Edward Jones Dome,False,72.0,0.0,,indoor
12/19/2011,2011,15,False,SF,20,3,PIT,SF,-3.0,37,Candlestick Park,False,52.0,1.0,74.0,
12/22/2011,2011,16,False,IND,19,16,HOU,HOU,-7.0,40.5,Lucas Oil Stadium,False,72.0,0.0,,indoor
12/24/2011,2011,16,False,BAL,20,14,CLE,BAL,-11.0,38,M&T Bank Stadium,False,45.0,1.0,32.0,
12/24/2011,2011,16,False,BUF,40,14,DEN,DEN,-3.0,43.5,Ralph Wilson Stadium,False,31.0,2.0,42.0,
12/24/2011,2011,16,False,CAR,48,16,TB,CAR,-7.5,48,Bank of America Stadium,False,51.0,9.0,57.0,
12/24/2011,2011,16,False,CIN,23,16,ARI,CIN,-4.0,41,Paul Brown Stadium,False,41.0,8.0,63.0,
12/24/2011,2011,16,False,DAL,7,20,PHI,PHI,-2.5,50,Cowboys Stadium,False,72.0,0.0,,indoor
12/24/2011,2011,16,False,DET,38,10,SD,LAC,-1.0,53,Ford Field,False,72.0,0.0,,indoor
12/24/2011,2011,16,False,KC,13,16,OAK,KC,-3.0,43,Arrowhead Stadium,False,47.0,7.0,57.0,
12/24/2011,2011,16,False,NE,27,24,MIA,NE,-7.5,49.5,Gillette Stadium,False,32.0,7.0,,
12/24/2011,2011,16,False,NYJ,14,29,NYG,NYJ,-3.0,46,MetLife Stadium,False,37.0,9.0,,
12/24/2011,2011,16,False,PIT,27,0,STL,PIT,-10.0,34,Heinz Field,False,37.0,4.0,67.0,
12/24/2011,2011,16,False,SEA,17,19,SF,SF,-2.5,37,CenturyLink Field,False,53.0,8.0,,
12/24/2011,2011,16,False,TEN,23,17,JAX,TEN,-8.5,38.5,Nissan Stadium,False,47.0,2.0,60.0,
12/24/2011,2011,16,False,Washington Redskins,26,33,MIN,WAS,-6.0,43,FedEx Field,False,45.0,9.0,36.0,
12/25/2011,2011,16,False,GB,35,21,CHI,GB,-13.0,42,Lambeau Field,False,37.0,1.0,64.0,
12/26/2011,2011,16,False,NO,45,16,ATL,NO,-7.0,52.5,Louisiana Superdome,False,72.0,0.0,,indoor
1/1/2012,2011,17,False,ARI,23,20,SEA,ARI,-2.5,40.5,University of Phoenix Stadium,False,72.0,0.0,,indoor
1/1/2012,2011,17,False,ATL,45,24,TB,ATL,-9.5,45,Georgia Dome,False,72.0,0.0,,indoor
1/1/2012,2011,17,False,CIN,16,24,BAL,BAL,-2.5,38,Paul Brown Stadium,False,43.0,1.0,68.0,
1/1/2012,2011,17,False,CLE,9,13,PIT,PIT,-7.0,33,FirstEnergy Stadium,False,49.0,2.0,66.0,
1/1/2012,2011,17,False,DEN,3,7,KC,DEN,-2.0,37.5,Sports Authority Field at Mile High,False,35.0,6.0,46.0,
1/1/2012,2011,17,False,GB,45,41,DET,DET,-6.5,42,Lambeau Field,False,31.0,2.0,78.0,
